Contract,tenure,MonthlyCharges,TechSupport,TotalCharges,InternetService,Partner,OnlineSecurity,Dependents,PaymentMethod,DeviceProtection,StreamingTV,OnlineBackup,PhoneService,Churn
0,30,74.75,0,2111.3,0,0,2,0,2,0,2,2,1,0
1,45,25.9,1,1216.6,2,1,1,1,1,1,1,1,1,0
0,1,79.35,0,79.35,1,0,0,1,2,0,2,0,1,1
0,11,50.55,0,565.35,0,1,2,1,2,0,2,0,0,0
0,7,75.15,0,496.9,1,1,0,0,0,2,0,0,1,1
0,42,103.8,2,4327.5,1,0,0,0,0,2,2,2,1,0
2,49,20.15,1,973.35,2,1,1,0,0,1,1,1,1,0
1,35,62.15,0,2215.45,0,1,2,0,0,0,2,0,1,0
2,48,20.65,1,1057.0,2,1,1,1,0,1,1,1,1,0
2,46,19.95,1,927.1,2,1,1,1,3,1,1,1,1,0
0,29,33.75,0,1009.25,0,1,0,0,3,0,2,0,0,0
0,30,82.05,0,2570.2,1,1,0,1,0,2,0,2,1,0
0,1,74.7,2,74.7,1,0,0,0,2,0,0,0,1,0
2,66,84.0,2,5714.25,0,1,2,1,3,2,2,0,1,0
0,65,111.05,0,7107.0,1,0,2,0,1,2,2,2,1,0
2,72,100.9,0,7459.05,1,0,0,0,0,2,2,2,1,0
0,12,78.95,0,927.35,1,0,2,0,2,0,0,0,1,1
1,71,66.85,2,4748.7,0,1,2,1,1,0,0,2,1,0
2,52,21.0,1,1107.2,2,0,1,0,0,1,1,1,1,0
0,25,98.5,0,2514.5,1,1,0,0,2,2,2,2,1,1
0,1,20.2,1,20.2,2,0,1,0,3,1,1,1,1,0
0,1,19.45,1,19.45,2,1,1,1,2,1,1,1,1,0
2,68,110.0,2,7611.85,1,1,0,0,0,2,2,2,1,1
0,5,24.3,0,100.2,0,0,0,0,3,0,0,0,0,0
1,72,104.15,0,7303.05,1,1,2,1,2,0,2,2,1,0
1,32,30.15,0,927.65,0,0,2,0,3,0,0,0,0,0
1,43,94.35,0,3921.3,1,0,0,0,3,0,2,0,1,0
2,72,19.4,1,1363.25,2,1,1,1,1,1,1,1,1,0
1,52,57.95,2,3042.25,0,0,2,0,1,2,0,0,1,0
0,43,91.65,0,3954.1,1,0,0,0,2,2,2,2,1,0
0,37,76.5,0,2868.15,1,1,0,0,2,0,0,0,1,1
2,64,54.6,2,3423.5,0,1,0,1,2,0,2,2,0,0
0,3,89.85,0,248.4,1,1,2,1,2,0,2,2,1,0
0,10,100.25,0,1064.65,1,1,2,1,2,0,2,0,1,1
2,41,20.65,1,835.15,2,0,1,0,3,1,1,1,1,0
0,27,85.2,2,2151.6,1,1,0,1,1,0,0,2,1,0
1,56,99.8,0,5515.45,1,1,0,1,1,2,2,0,1,0
0,3,74.4,0,229.55,1,0,0,0,2,0,0,0,1,1
0,4,20.85,1,62.9,2,1,1,1,3,1,1,1,1,0
2,33,88.95,2,3027.65,1,0,2,0,2,0,2,0,1,0
0,27,78.05,0,2135.5,1,0,0,0,2,2,0,0,1,1
2,72,23.55,1,1723.95,2,1,1,0,0,1,1,1,1,0
0,1,19.75,1,19.75,2,0,1,0,3,1,1,1,1,0
1,71,56.45,0,3985.35,0,0,2,0,2,0,2,2,0,0
0,13,85.95,0,1215.65,1,0,0,0,2,0,0,0,1,0
0,25,58.6,0,1502.65,0,1,2,1,1,2,2,2,0,1
2,67,50.55,2,3260.1,0,0,0,0,0,0,0,0,1,0
0,1,35.45,0,35.45,0,0,0,0,2,0,0,0,0,1
0,2,44.35,0,81.25,0,0,0,0,2,0,0,0,1,1
2,43,25.7,1,1188.2,2,0,1,0,1,1,1,1,1,0
0,23,75.0,0,1778.5,1,0,2,0,0,0,0,0,1,0
2,64,20.2,1,1277.75,2,1,1,1,3,1,1,1,1,0
2,57,19.6,1,1170.55,2,0,1,1,3,1,1,1,1,0
0,1,70.45,0,70.45,1,1,0,0,3,0,0,0,1,1
2,72,88.05,2,6425.65,0,1,2,1,1,2,2,2,1,0
0,8,71.15,2,563.65,0,0,2,0,2,0,0,0,1,1
2,61,101.05,0,5971.25,1,1,0,0,0,0,2,2,1,0
2,71,23.95,1,1756.2,2,1,1,0,0,1,1,1,1,0
2,65,99.05,2,6416.7,1,1,2,1,1,0,2,2,1,0
1,3,19.6,1,61.35,2,0,1,0,3,1,1,1,1,0
0,1,45.65,0,45.65,0,0,0,0,2,0,0,0,1,1
1,30,64.5,0,1929.95,0,0,0,1,1,2,2,2,1,0
0,15,69.5,2,1071.4,0,1,0,1,3,2,0,2,1,0
0,8,68.55,2,564.35,0,1,0,1,2,0,2,0,1,0
0,7,95.0,0,655.5,1,0,0,0,3,0,2,0,1,1
1,70,108.15,0,7930.55,1,1,2,1,1,2,2,2,1,0
2,62,86.1,2,5215.25,0,1,2,1,2,2,2,2,1,0
0,6,19.7,1,113.5,2,1,1,1,3,1,1,1,1,0
0,22,84.15,0,1821.95,1,0,0,0,0,0,2,0,1,0
1,22,20.15,1,419.9,2,1,1,1,3,1,1,1,1,0
2,16,64.25,0,1024.0,0,1,2,1,3,2,2,0,1,0
0,13,56.0,0,764.55,0,0,2,1,2,0,0,2,1,0
0,20,82.4,0,1592.35,1,1,2,0,2,0,0,0,1,1
2,53,73.9,2,3958.25,0,0,0,0,0,2,0,2,1,0
1,11,20.6,1,233.9,2,1,1,1,3,1,1,1,1,0
2,69,19.9,1,1363.45,2,1,1,0,3,1,1,1,1,0
0,4,70.9,0,273.0,1,0,0,0,0,0,0,0,1,1
2,72,89.05,2,6254.45,0,1,2,0,0,2,2,2,1,0
0,58,45.3,0,2651.2,0,1,0,0,2,2,0,2,0,1
0,16,20.4,1,321.4,2,1,1,1,2,1,1,1,1,0
1,43,84.25,2,3539.25,1,1,2,0,0,2,0,0,1,0
0,2,104.4,2,242.8,1,1,0,0,2,2,2,0,1,1
2,14,81.95,2,1181.75,0,1,0,0,3,2,2,2,1,0
1,53,94.85,0,5000.2,1,1,0,0,0,2,2,0,1,1
1,32,20.55,1,654.55,2,0,1,0,0,1,1,1,1,0
0,34,24.7,1,780.2,2,1,1,0,2,1,1,1,1,0
0,15,74.45,0,1145.7,1,0,0,0,3,0,0,0,1,1
0,7,76.45,0,503.6,1,0,2,0,0,0,0,0,1,1
0,15,105.35,0,1559.25,1,1,0,1,0,2,2,2,1,0
1,61,20.55,1,1252.0,2,1,1,0,1,1,1,1,1,0
0,1,29.95,0,29.95,0,0,0,0,0,0,0,2,0,1
0,1,45.3,0,45.3,0,0,0,0,3,0,0,0,1,0
0,8,84.5,0,662.65,1,0,0,0,0,0,0,0,1,1
1,33,74.75,0,2453.3,0,1,2,1,1,2,2,0,1,0
0,13,79.25,0,1111.65,1,0,0,0,2,2,0,2,1,1
0,1,24.8,0,24.8,0,1,0,0,2,0,0,0,0,1
0,20,51.8,0,1023.85,0,0,0,0,3,0,0,2,1,0
0,3,30.4,2,82.15,0,0,0,0,2,0,0,0,0,0
1,13,19.65,1,244.8,2,0,1,0,2,1,1,1,1,0
0,40,56.6,0,2379.1,0,1,0,0,1,0,0,2,1,0
1,43,71.9,2,3173.35,0,1,2,1,1,0,0,0,1,0
0,6,91.0,0,531.0,1,1,0,0,2,2,0,2,1,1
2,69,19.75,1,1375.4,2,1,1,1,0,1,1,1,1,0
2,72,109.7,0,8129.3,1,1,2,1,1,2,2,2,1,0
2,59,19.3,1,1192.7,2,1,1,1,1,1,1,1,1,0
0,20,96.55,2,1901.65,1,1,2,0,2,0,2,2,1,0
2,24,24.1,1,587.4,2,1,1,1,0,1,1,1,1,0
0,59,111.35,2,6519.75,1,0,0,0,2,2,2,2,1,0
2,72,112.25,2,8041.65,1,1,0,1,0,2,2,2,1,0
0,1,20.75,1,20.75,2,0,1,1,3,1,1,1,1,0
1,27,101.9,2,2681.15,1,1,2,0,1,0,2,0,1,0
0,14,80.05,2,1112.3,1,0,0,0,1,0,0,2,1,0
2,71,105.55,0,7405.5,1,1,2,1,2,2,2,0,1,0
0,44,68.85,0,2958.95,1,0,0,0,1,0,0,0,1,0
1,33,79.95,2,2684.85,1,0,0,0,0,0,0,2,1,0
2,72,55.45,2,4179.2,0,1,2,1,1,2,0,2,0,0
0,1,79.9,0,79.9,1,0,0,0,2,0,0,0,1,1
0,19,106.6,2,1934.45,1,0,2,0,2,2,2,0,1,1
1,64,102.45,2,6654.1,1,1,0,0,1,2,2,2,1,0
0,2,46.0,0,84.5,0,0,0,0,1,0,0,0,1,1
0,1,25.25,0,25.25,0,0,0,0,2,0,0,0,0,0
2,61,19.75,1,1124.2,2,0,1,1,3,1,1,1,1,0
1,29,20.0,1,540.05,2,1,1,1,2,1,1,1,1,0
0,57,58.75,0,3437.45,0,1,2,0,0,2,2,2,0,0
2,72,45.25,2,3139.8,0,1,2,1,1,2,0,2,0,0
2,66,56.6,2,3789.2,0,1,2,0,0,2,2,2,0,0
2,65,84.2,2,5324.5,0,1,0,1,0,2,2,2,1,0
0,8,80.0,0,624.6,1,0,0,0,0,0,2,0,1,0
0,4,70.15,0,268.35,1,0,0,0,2,0,0,0,1,1
2,71,24.75,1,1836.9,2,1,1,0,0,1,1,1,1,0
1,1,20.2,1,20.2,2,1,1,1,2,1,1,1,1,0
0,4,50.05,2,179.35,0,1,0,0,3,0,0,0,1,1
1,12,19.35,1,219.35,2,0,1,0,0,1,1,1,1,0
1,24,50.6,0,1288.75,0,0,2,0,3,0,2,0,0,0
1,31,81.15,2,2545.75,0,1,2,1,3,2,2,0,1,0
0,1,55.2,0,55.2,0,1,0,0,3,0,2,0,1,1
0,30,89.9,2,2723.15,1,0,0,0,1,0,0,0,1,0
2,47,85.3,2,4107.25,0,1,2,1,1,0,2,2,1,0
0,1,84.6,0,84.6,1,0,2,0,3,0,0,0,1,1
2,72,20.25,1,1566.9,2,0,1,0,1,1,1,1,1,0
0,29,25.15,1,702.0,2,0,1,0,2,1,1,1,1,0
0,2,54.4,0,114.1,0,0,0,0,3,0,0,2,1,1
2,10,29.6,2,299.05,0,0,0,0,3,0,0,0,0,0
0,11,95.0,0,1120.3,1,0,0,0,2,0,2,2,1,1
2,16,19.75,1,284.35,2,0,1,0,3,1,1,1,1,0
2,72,86.6,2,6350.5,0,0,0,0,0,2,2,2,1,0
2,72,109.2,2,7878.3,1,0,0,0,0,2,2,2,1,0
0,4,75.35,0,273.4,1,0,2,0,2,0,0,0,1,0
1,41,65.0,0,2531.8,0,0,0,0,3,2,0,0,1,0
0,15,74.4,0,1074.3,1,0,0,0,2,0,0,2,1,1
1,42,99.0,0,4298.45,1,0,2,0,2,2,0,2,1,0
1,51,93.5,0,4619.55,1,1,2,0,2,2,2,2,1,0
0,2,70.4,0,147.15,1,1,0,1,2,0,0,0,1,1
0,1,40.2,0,40.2,0,1,0,0,2,0,2,2,0,1
1,32,83.7,2,2633.3,0,0,0,1,1,2,2,2,1,0
0,10,19.85,1,193.05,2,0,1,0,3,1,1,1,1,0
2,67,59.55,2,4103.9,0,1,0,1,2,2,2,2,0,0
2,61,115.1,2,7008.15,1,1,2,1,1,2,2,2,1,0
1,50,114.35,2,5791.1,1,0,2,0,1,2,2,2,1,0
0,2,44.6,0,80.55,0,1,0,0,1,0,0,0,1,1
0,29,45.0,0,1228.65,0,1,2,0,2,2,0,0,0,0
0,3,41.15,0,132.2,0,0,0,0,2,2,0,0,0,1
0,13,106.9,0,1364.3,1,0,0,0,2,2,2,2,1,1
0,57,89.85,0,4925.35,1,1,0,0,2,0,0,2,1,0
2,31,49.85,2,1520.1,0,0,2,0,0,0,0,2,0,0
1,45,113.3,2,5032.25,1,1,2,0,3,2,2,2,1,0
2,61,88.1,2,5526.75,0,1,2,1,3,2,2,2,1,0
2,50,24.9,1,1195.25,2,0,1,0,0,1,1,1,1,0
2,59,19.35,1,1099.6,2,0,1,0,3,1,1,1,1,1
2,71,24.25,1,1732.95,2,1,1,0,1,1,1,1,1,0
0,16,94.45,2,1511.2,1,0,0,0,2,0,2,0,1,1
2,57,59.75,2,3450.15,0,1,2,0,2,0,0,2,1,0
0,1,24.8,0,24.8,0,0,0,0,0,0,0,0,0,1
0,20,107.05,2,2172.05,1,1,0,0,2,0,2,2,1,0
0,1,70.6,0,70.6,1,0,0,0,3,0,0,0,1,1
0,5,85.4,2,401.1,1,1,0,0,2,0,0,2,1,1
0,21,64.95,0,1339.8,0,1,2,0,0,0,0,2,1,0
0,14,55.0,2,771.95,0,0,0,0,2,2,2,0,0,0
0,5,50.55,0,244.75,0,0,0,0,0,0,0,2,1,0
0,6,55.15,0,322.9,0,0,2,0,3,0,0,2,1,0
0,10,51.2,0,498.25,0,0,0,0,2,0,0,2,1,0
0,1,25.4,1,25.4,2,0,1,1,3,1,1,1,1,0
0,68,54.45,0,3687.75,0,0,2,0,3,0,0,0,1,0
0,18,95.15,0,1779.95,1,1,0,1,3,2,2,0,1,1
1,22,76.0,0,1783.6,1,0,0,0,1,0,0,0,1,0
0,20,44.35,0,927.15,0,0,0,0,2,0,0,0,1,0
0,1,70.0,0,70.0,1,1,0,0,2,0,0,0,1,1
0,8,74.5,0,606.55,1,0,0,0,2,0,0,2,1,1
0,10,44.85,0,435.4,0,0,0,0,1,0,0,0,1,1
0,24,76.1,0,1712.7,1,0,0,0,2,0,0,0,1,1
1,35,61.2,0,2021.2,0,0,2,0,3,2,0,2,1,0
1,23,86.8,2,1940.8,1,1,0,1,3,2,0,2,1,0
0,6,89.35,0,567.8,1,0,0,0,2,0,2,0,1,0
0,12,19.7,1,220.35,2,0,1,0,3,1,1,1,1,0
0,1,20.25,1,20.25,2,0,1,0,3,1,1,1,1,0
2,71,76.05,0,5436.45,1,1,0,1,2,2,0,0,1,0
0,35,100.8,0,3437.5,1,1,0,0,2,2,2,0,1,0
0,40,74.55,0,3015.75,0,1,0,1,2,2,2,0,1,0
0,1,73.6,0,73.6,1,0,2,1,3,0,0,0,1,1
0,4,95.45,0,396.1,1,0,0,0,2,0,2,0,1,1
0,4,90.4,2,356.65,1,0,0,0,2,2,0,0,1,0
2,68,60.3,2,4109.0,0,1,0,1,1,2,2,2,0,0
0,38,81.85,0,3141.7,1,0,0,1,3,0,0,2,1,0
2,52,24.8,1,1229.1,2,1,1,1,3,1,1,1,1,0
0,32,74.9,0,2303.35,1,1,0,0,2,0,0,0,1,1
2,29,75.55,2,2054.4,0,1,0,1,3,2,2,0,1,0
0,1,19.25,1,19.25,2,0,1,0,0,1,1,1,1,0
0,22,89.05,2,1886.25,1,0,2,0,2,0,0,0,1,0
2,43,115.05,2,4895.1,1,0,2,0,1,2,2,2,1,0
0,5,69.35,0,341.6,1,1,0,0,2,0,0,0,1,0
0,5,80.6,0,415.55,1,0,0,0,2,0,2,0,1,1
1,51,110.05,2,5686.4,1,1,2,1,1,0,2,2,1,0
2,71,19.9,1,1355.1,2,0,1,0,1,1,1,1,1,0
1,38,80.3,2,3058.65,0,1,2,1,1,0,2,2,1,1
0,24,93.15,0,2231.05,1,1,0,0,2,2,2,0,1,1
0,35,91.5,2,3236.35,1,1,0,0,1,0,2,0,1,0
1,54,82.45,2,4350.1,0,0,2,0,0,0,2,2,1,1
2,72,60.0,2,4264.0,0,1,0,1,2,2,2,2,0,0
0,1,44.8,0,44.8,0,0,0,0,2,0,0,0,1,0
1,9,48.6,0,422.3,0,1,2,1,3,0,0,0,1,0
2,69,60.05,2,4176.7,0,0,2,0,0,0,2,2,0,0
0,11,82.9,2,880.05,1,1,0,0,2,0,2,0,1,0
0,2,70.35,0,139.05,1,0,0,0,2,0,0,0,1,1
0,28,35.9,0,973.65,0,1,0,1,2,0,2,0,0,0
2,35,19.85,1,739.35,2,1,1,1,3,1,1,1,1,0
1,8,19.2,1,161.95,2,0,1,0,3,1,1,1,1,0
0,7,73.85,0,511.25,1,0,0,0,2,0,0,0,1,1
0,2,80.6,0,155.8,1,0,0,0,3,2,0,0,1,1
1,68,75.8,2,5293.95,0,1,0,1,0,2,0,2,1,1
2,43,104.6,0,4759.85,1,0,0,0,2,2,2,2,1,1
2,68,88.15,2,6148.45,0,0,2,0,2,2,2,2,1,0
0,36,94.8,0,3565.65,1,0,0,0,1,0,2,2,1,0
0,32,54.65,2,1830.1,0,0,0,0,0,0,0,2,1,0
2,71,85.75,2,6223.8,0,1,2,0,1,2,2,2,1,0
0,66,67.45,0,4508.65,0,1,2,1,0,2,0,2,1,0
1,63,20.5,1,1328.15,2,0,1,0,3,1,1,1,1,0
1,41,20.25,1,865.0,2,0,1,1,1,1,1,1,1,0
0,1,72.1,0,72.1,1,0,0,0,2,0,0,0,1,0
0,2,90.4,0,168.2,1,0,0,0,2,0,2,0,1,1
2,70,19.45,1,1303.5,2,1,1,0,0,1,1,1,1,0
0,23,44.95,0,996.85,0,0,0,0,2,0,2,0,0,0
2,37,62.8,2,2278.75,0,1,2,1,1,2,0,0,1,0
0,7,89.15,0,574.35,1,0,0,0,2,0,2,0,1,0
0,4,84.8,0,371.9,1,1,0,1,0,2,0,2,1,1
0,21,41.9,0,840.1,0,0,2,0,2,0,2,0,0,1
0,10,80.25,0,846.0,1,0,0,0,0,0,0,0,1,1
0,16,54.1,0,889.0,0,0,2,0,2,0,0,0,1,0
2,64,105.25,2,6823.4,1,1,0,0,2,0,2,2,1,0
0,27,30.75,0,805.1,0,1,2,0,1,0,0,0,0,1
1,42,97.1,0,4016.75,1,1,2,1,2,0,2,0,1,0
0,5,20.2,1,83.75,2,0,1,1,3,1,1,1,1,0
2,41,98.8,2,3959.15,1,0,0,0,0,0,2,2,1,0
1,58,50.3,0,2878.55,0,1,0,0,1,2,0,0,1,0
2,47,20.55,1,945.7,2,0,1,0,3,1,1,1,1,0
0,18,75.9,2,1373.05,1,0,0,0,0,0,0,0,1,0
0,5,96.5,0,492.55,1,0,0,0,0,2,2,0,1,1
0,23,59.95,0,1406.0,0,1,2,0,0,0,0,0,1,0
0,1,19.15,1,19.15,2,0,1,0,3,1,1,1,1,0
1,71,98.65,0,6962.85,1,1,0,0,1,2,2,0,1,0
2,72,112.6,2,8126.65,1,1,2,1,1,2,2,2,1,0
1,33,20.6,1,690.25,2,1,1,1,3,1,1,1,1,0
0,2,85.65,0,181.5,1,0,0,0,2,0,2,0,1,1
2,24,35.75,2,830.8,0,0,2,1,3,0,0,0,0,0
1,56,99.75,2,5608.4,1,1,0,1,1,2,0,2,1,0
0,25,104.95,2,2566.5,1,1,0,0,0,2,2,0,1,1
2,61,89.65,2,5308.7,0,0,2,0,2,2,2,2,1,0
1,17,86.75,2,1410.25,1,0,0,0,2,2,0,0,1,0
1,41,86.2,2,3339.05,1,1,0,0,0,2,0,2,1,0
0,1,50.65,0,50.65,0,0,0,0,3,0,0,2,1,1
2,72,64.8,2,4732.35,0,1,2,1,0,2,2,2,0,0
0,1,90.85,0,90.85,1,0,0,0,1,0,0,2,1,1
0,55,85.45,0,4874.7,1,1,0,0,2,2,0,2,1,1
1,42,54.75,2,2348.45,0,0,2,0,2,2,0,2,0,0
0,1,44.0,0,44.0,0,0,0,1,2,0,0,0,1,0
0,27,95.6,0,2595.25,1,0,0,0,0,0,2,0,1,0
0,27,84.8,2,2309.55,0,1,0,0,0,2,2,2,1,0
0,2,44.3,0,89.3,0,0,0,0,2,0,0,0,1,0
0,19,19.9,1,367.55,2,0,1,0,3,1,1,1,1,0
0,42,95.05,0,3944.5,1,1,0,0,2,0,2,0,1,0
2,66,90.05,2,5965.95,0,0,2,0,1,2,2,2,1,0
0,33,109.9,2,3694.7,1,1,2,0,0,2,2,0,1,0
0,33,54.6,2,1803.7,0,0,0,0,2,2,2,0,0,0
1,23,20.05,1,415.1,2,1,1,1,3,1,1,1,1,0
1,32,19.75,1,624.15,2,0,1,0,0,1,1,1,1,0
1,11,20.05,1,237.7,2,0,1,0,1,1,1,1,1,0
0,69,99.45,0,7007.6,1,1,0,1,1,2,2,0,1,1
1,68,55.9,2,3848.8,0,1,2,0,0,0,0,0,1,0
2,20,19.7,1,419.4,2,0,1,0,3,1,1,1,1,0
2,72,19.8,1,1468.75,2,0,1,0,1,1,1,1,1,0
1,60,95.4,0,5812.0,1,1,2,1,0,2,2,0,1,0
0,32,93.95,0,2861.45,1,1,0,1,3,0,2,2,1,0
0,1,19.9,1,19.9,2,0,1,0,3,1,1,1,1,1
0,1,19.6,1,19.6,2,0,1,0,3,1,1,1,1,1
0,3,81.35,0,233.7,1,0,0,0,2,0,0,2,1,1
1,46,24.45,1,1066.15,2,1,1,0,0,1,1,1,1,0
0,29,74.95,0,2149.05,1,1,0,0,2,0,0,0,1,0
0,51,87.35,2,4473.0,1,0,0,0,2,2,0,2,1,0
0,48,70.65,0,3545.05,1,1,0,0,0,0,0,0,1,0
0,16,73.25,0,1195.75,1,1,0,1,0,0,0,2,1,0
2,70,98.7,2,6858.9,1,1,0,0,0,2,0,2,1,0
2,40,24.8,1,1024.7,2,1,1,1,3,1,1,1,1,0
0,22,83.3,0,1845.9,1,1,0,1,2,0,0,2,1,1
0,1,75.3,0,75.3,1,0,0,0,0,2,0,0,1,1
0,5,24.3,1,132.25,2,1,1,1,3,1,1,1,1,0
0,7,69.85,0,515.45,1,0,0,0,0,0,0,0,1,0
1,29,100.55,2,2830.45,1,0,0,1,1,2,0,2,1,0
1,44,25.7,1,1110.5,2,1,1,1,3,1,1,1,1,0
0,10,40.7,0,449.3,0,0,2,0,0,2,0,2,0,0
0,18,75.6,0,1395.05,1,0,0,0,0,0,0,0,1,0
1,68,58.25,2,3975.7,0,1,2,0,0,0,0,0,1,0
0,61,19.4,1,1182.55,2,1,1,1,3,1,1,1,1,1
2,72,65.2,2,4784.45,0,1,2,1,1,2,2,2,0,0
0,2,53.45,0,119.5,0,0,2,0,2,2,0,0,1,0
0,12,45.4,0,518.9,0,0,0,0,0,0,0,0,1,1
2,41,19.75,1,899.45,2,1,1,0,2,1,1,1,1,0
0,26,44.45,2,1183.8,0,0,0,0,1,2,2,0,0,0
1,36,20.85,1,720.05,2,1,1,0,0,1,1,1,1,0
2,72,114.05,2,8468.2,1,1,2,1,1,2,2,2,1,0
0,35,89.85,2,3161.2,1,1,0,0,0,0,0,0,1,0
0,1,55.05,2,55.05,0,0,0,0,3,2,0,0,1,0
0,16,112.95,2,1882.55,1,1,2,1,2,2,2,0,1,0
0,49,101.55,0,5070.4,1,0,2,0,1,0,2,0,1,0
1,54,114.65,2,6049.5,1,1,2,0,3,2,2,2,1,0
0,18,64.8,0,1166.7,0,0,2,1,2,0,0,0,1,0
