TotalCharges,MonthlyCharges,tenure,Contract,OnlineSecurity,TechSupport,InternetService,DeviceProtection,OnlineBackup,Churn
6425.65,88.05,72,2,2,2,0,2,2,0
563.65,71.15,8,0,2,2,0,0,0,1
5971.25,101.05,61,2,0,0,1,0,2,0
1756.2,23.95,71,2,1,1,2,1,1,0
6416.7,99.05,65,2,2,2,1,0,2,0
61.35,19.6,3,1,1,1,2,1,1,0
45.65,45.65,1,0,0,0,0,0,0,1
1929.95,64.5,30,1,0,0,0,2,2,0
564.35,68.55,8,0,0,2,0,0,0,0
655.5,95.0,7,0,0,0,1,0,0,1
7930.55,108.15,70,1,2,0,1,2,2,0
5215.25,86.1,62,2,2,2,0,2,2,0
113.5,19.7,6,0,1,1,2,1,1,0
1821.95,84.15,22,0,0,0,1,0,0,0
419.9,20.15,22,1,1,1,2,1,1,0
1024.0,64.25,16,2,2,0,0,2,0,0
251.6,25.7,10,2,1,1,2,1,1,0
764.55,56.0,13,0,2,0,0,0,2,0
1592.35,82.4,20,0,2,0,1,0,0,1
3958.25,73.9,53,2,0,2,0,2,2,0
233.9,20.6,11,1,1,1,2,1,1,0
1363.45,19.9,69,2,1,1,2,1,1,0
273.0,70.9,4,0,0,0,1,0,0,1
6254.45,89.05,72,2,2,2,0,2,2,0
2651.2,45.3,58,0,0,0,0,2,2,1
321.4,20.4,16,0,1,1,2,1,1,0
3539.25,84.25,43,1,2,2,1,2,0,0
242.8,104.4,2,0,0,2,1,2,0,1
1181.75,81.95,14,2,0,2,0,2,2,0
654.55,20.55,32,1,1,1,2,1,1,0
780.2,24.7,34,0,1,1,2,1,1,0
1145.7,74.45,15,0,0,0,1,0,0,1
503.6,76.45,7,0,2,0,1,0,0,1
1559.25,105.35,15,0,0,0,1,2,2,0
1252.0,20.55,61,1,1,1,2,1,1,0
29.95,29.95,1,0,0,0,0,0,2,1
45.3,45.3,1,0,0,0,0,0,0,0
662.65,84.5,8,0,0,0,1,0,0,1
2453.3,74.75,33,1,2,0,0,2,0,0
1111.65,79.25,13,0,0,0,1,2,2,1
24.8,24.8,1,0,0,0,0,0,0,1
1023.85,51.8,20,0,0,0,0,0,2,0
82.15,30.4,3,0,0,2,0,0,0,0
244.8,19.65,13,1,1,1,2,1,1,0
2379.1,56.6,40,0,0,0,0,0,2,0
3173.35,71.9,43,1,2,2,0,0,0,0
531.0,91.0,6,0,0,0,1,2,2,1
1375.4,19.75,69,2,1,1,2,1,1,0
8129.3,109.7,72,2,2,0,1,2,2,0
1192.7,19.3,59,2,1,1,2,1,1,0
1901.65,96.55,20,0,2,2,1,0,2,0
587.4,24.1,24,2,1,1,2,1,1,0
6519.75,111.35,59,0,0,2,1,2,2,0
8041.65,112.25,72,2,0,2,1,2,2,0
20.75,20.75,1,0,1,1,2,1,1,0
2681.15,101.9,27,1,2,2,1,0,0,0
1112.3,80.05,14,0,0,2,1,0,2,0
7405.5,105.55,71,2,2,0,1,2,0,0
2958.95,68.85,44,0,0,0,1,0,0,0
2684.85,79.95,33,1,0,2,1,0,2,0
4179.2,55.45,72,2,2,2,0,2,2,0
79.9,79.9,1,0,0,0,1,0,0,1
1934.45,106.6,19,0,2,2,1,2,0,1
6654.1,102.45,64,1,0,2,1,2,2,0
84.5,46.0,2,0,0,0,0,0,0,1
25.25,25.25,1,0,0,0,0,0,0,0
1124.2,19.75,61,2,1,1,2,1,1,0
540.05,20.0,29,1,1,1,2,1,1,0
3437.45,58.75,57,0,2,0,0,2,2,0
3139.8,45.25,72,2,2,2,0,2,2,0
3789.2,56.6,66,2,2,2,0,2,2,0
5324.5,84.2,65,2,0,2,0,2,2,0
624.6,80.0,8,0,0,0,1,0,0,0
268.35,70.15,4,0,0,0,1,0,0,1
1836.9,24.75,71,2,1,1,2,1,1,0
20.2,20.2,1,1,1,1,2,1,1,0
179.35,50.05,4,0,0,2,0,0,0,1
219.35,19.35,12,1,1,1,2,1,1,0
1288.75,50.6,24,1,2,0,0,0,0,0
2545.75,81.15,31,1,2,2,0,2,0,0
55.2,55.2,1,0,0,0,0,0,0,1
2723.15,89.9,30,0,0,2,1,0,0,0
4107.25,85.3,47,2,2,2,0,0,2,0
84.6,84.6,1,0,2,0,1,0,0,1
1566.9,20.25,72,2,1,1,2,1,1,0
702.0,25.15,29,0,1,1,2,1,1,0
114.1,54.4,2,0,0,0,0,0,2,1
299.05,29.6,10,2,0,2,0,0,0,0
1120.3,95.0,11,0,0,0,1,0,2,1
284.35,19.75,16,2,1,1,2,1,1,0
6350.5,86.6,72,2,0,2,0,2,2,0
7878.3,109.2,72,2,0,2,1,2,2,0
273.4,75.35,4,0,2,0,1,0,0,0
2531.8,65.0,41,1,0,0,0,2,0,0
48.55,48.55,1,0,2,0,0,0,0,1
4298.45,99.0,42,1,2,0,1,2,2,0
4619.55,93.5,51,1,2,0,1,2,2,0
147.15,70.4,2,0,0,0,1,0,0,1
40.2,40.2,1,0,0,0,0,0,2,1
2633.3,83.7,32,1,0,2,0,2,2,0
193.05,19.85,10,0,1,1,2,1,1,0
4103.9,59.55,67,2,0,2,0,2,2,0
7008.15,115.1,61,2,2,2,1,2,2,0
5791.1,114.35,50,1,2,2,1,2,2,0
80.55,44.6,2,0,0,0,0,0,0,1
1228.65,45.0,29,0,2,0,0,2,0,0
132.2,41.15,3,0,0,0,0,2,0,1
1364.3,106.9,13,0,0,0,1,2,2,1
4925.35,89.85,57,0,0,0,1,0,2,0
1520.1,49.85,31,2,2,2,0,0,2,0
5032.25,113.3,45,1,2,2,1,2,2,0
5526.75,88.1,61,2,2,2,0,2,2,0
1195.25,24.9,50,2,1,1,2,1,1,0
1732.95,24.25,71,2,1,1,2,1,1,0
1511.2,94.45,16,0,0,2,1,0,0,1
3450.15,59.75,57,2,2,2,0,0,2,0
24.8,24.8,1,0,0,0,0,0,0,1
2172.05,107.05,20,0,0,2,1,0,2,0
70.6,70.6,1,0,0,0,1,0,0,1
401.1,85.4,5,0,0,2,1,0,2,1
1339.8,64.95,21,0,2,0,0,0,2,0
771.95,55.0,14,0,0,2,0,2,0,0
244.75,50.55,5,0,0,0,0,0,2,0
322.9,55.15,6,0,2,0,0,0,2,0
498.25,51.2,10,0,0,0,0,0,2,0
25.4,25.4,1,0,1,1,2,1,1,0
3687.75,54.45,68,0,2,0,0,0,0,0
1779.95,95.15,18,0,0,0,1,2,0,1
1783.6,76.0,22,1,0,0,1,0,0,0
927.15,44.35,20,0,0,0,0,0,0,0
70.0,70.0,1,0,0,0,1,0,0,1
606.55,74.5,8,0,0,0,1,0,2,1
435.4,44.85,10,0,0,0,0,0,0,1
1712.7,76.1,24,0,0,0,1,0,0,1
2021.2,61.2,35,1,2,0,0,2,2,0
1940.8,86.8,23,1,0,2,1,2,2,0
567.8,89.35,6,0,0,0,1,0,0,0
220.35,19.7,12,0,1,1,2,1,1,0
20.25,20.25,1,0,1,1,2,1,1,0
5436.45,76.05,71,2,0,0,1,2,0,0
3437.5,100.8,35,0,0,0,1,2,0,0
3015.75,74.55,40,0,0,0,0,2,0,0
73.6,73.6,1,0,2,0,1,0,0,1
396.1,95.45,4,0,0,0,1,0,0,1
356.65,90.4,4,0,0,2,1,2,0,0
4109.0,60.3,68,2,0,2,0,2,2,0
3141.7,81.85,38,0,0,0,1,0,2,0
1229.1,24.8,52,2,1,1,2,1,1,0
2303.35,74.9,32,0,0,0,1,0,0,1
2054.4,75.55,29,2,0,2,0,2,0,0
19.25,19.25,1,0,1,1,2,1,1,0
1886.25,89.05,22,0,2,2,1,0,0,0
4895.1,115.05,43,2,2,2,1,2,2,0
415.55,80.6,5,0,0,0,1,0,0,1
5686.4,110.05,51,1,2,2,1,0,2,0
1355.1,19.9,71,2,1,1,2,1,1,0
3058.65,80.3,38,1,2,2,0,0,2,1
2231.05,93.15,24,0,0,0,1,2,0,1
3236.35,91.5,35,0,0,2,1,0,0,0
4264.0,60.0,72,2,0,2,0,2,2,0
44.8,44.8,1,0,0,0,0,0,0,0
422.3,48.6,9,1,2,0,0,0,0,0
4176.7,60.05,69,2,2,2,0,0,2,0
880.05,82.9,11,0,0,2,1,0,0,0
139.05,70.35,2,0,0,0,1,0,0,1
973.65,35.9,28,0,0,0,0,0,0,0
739.35,19.85,35,2,1,1,2,1,1,0
161.95,19.2,8,1,1,1,2,1,1,0
511.25,73.85,7,0,0,0,1,0,0,1
155.8,80.6,2,0,0,0,1,2,0,1
5293.95,75.8,68,1,0,2,0,2,2,1
4759.85,104.6,43,2,0,0,1,2,2,1
6148.45,88.15,68,2,2,2,0,2,2,0
3565.65,94.8,36,0,0,0,1,0,2,0
1830.1,54.65,32,0,0,2,0,0,2,0
6223.8,85.75,71,2,2,2,0,2,2,0
4508.65,67.45,66,0,2,0,0,2,2,0
1328.15,20.5,63,1,1,1,2,1,1,0
865.0,20.25,41,1,1,1,2,1,1,0
72.1,72.1,1,0,0,0,1,0,0,0
168.2,90.4,2,0,0,0,1,0,0,1
1303.5,19.45,70,2,1,1,2,1,1,0
996.85,44.95,23,0,0,0,0,0,0,0
2278.75,62.8,37,2,2,2,0,2,0,0
574.35,89.15,7,0,0,0,1,0,0,0
371.9,84.8,4,0,0,0,1,2,2,1
840.1,41.9,21,0,2,0,0,0,0,1
846.0,80.25,10,0,0,0,1,0,0,1
889.0,54.1,16,0,2,0,0,0,0,0
6823.4,105.25,64,2,0,2,1,0,2,0
805.1,30.75,27,0,2,0,0,0,0,1
4016.75,97.1,42,1,2,0,1,0,0,0
83.75,20.2,5,0,1,1,2,1,1,0
3959.15,98.8,41,2,0,2,1,0,2,0
2878.55,50.3,58,1,0,0,0,2,0,0
945.7,20.55,47,2,1,1,2,1,1,0
1373.05,75.9,18,0,0,2,1,0,0,0
492.55,96.5,5,0,0,0,1,2,0,1
1406.0,59.95,23,0,2,0,0,0,0,0
19.15,19.15,1,0,1,1,2,1,1,0
6962.85,98.65,71,1,0,0,1,2,0,0
8126.65,112.6,72,2,2,2,1,2,2,0
690.25,20.6,33,1,1,1,2,1,1,0
181.5,85.65,2,0,0,0,1,0,0,1
830.8,35.75,24,2,2,2,0,0,0,0
5608.4,99.75,56,1,0,2,1,2,2,0
2566.5,104.95,25,0,0,2,1,2,0,1
5308.7,89.65,61,2,2,2,0,2,2,0
1410.25,86.75,17,1,0,2,1,2,0,0
3339.05,86.2,41,1,0,2,1,2,2,0
50.65,50.65,1,0,0,0,0,0,2,1
4732.35,64.8,72,2,2,2,0,2,2,0
90.85,90.85,1,0,0,0,1,0,2,1
4874.7,85.45,55,0,0,0,1,2,2,1
2348.45,54.75,42,1,2,2,0,2,2,0
44.0,44.0,1,0,0,0,0,0,0,0
2595.25,95.6,27,0,0,0,1,0,0,0
2309.55,84.8,27,0,0,2,0,2,2,0
89.3,44.3,2,0,0,0,0,0,0,0
367.55,19.9,19,0,1,1,2,1,1,0
3944.5,95.05,42,0,0,0,1,0,0,0
5965.95,90.05,66,2,2,2,0,2,2,0
3694.7,109.9,33,0,2,2,1,2,0,0
1803.7,54.6,33,0,0,2,0,2,0,0
415.1,20.05,23,1,1,1,2,1,1,0
624.15,19.75,32,1,1,1,2,1,1,0
237.7,20.05,11,1,1,1,2,1,1,0
7007.6,99.45,69,0,0,0,1,2,0,1
3848.8,55.9,68,1,2,2,0,0,0,0
419.4,19.7,20,2,1,1,2,1,1,0
1468.75,19.8,72,2,1,1,2,1,1,0
5812.0,95.4,60,1,2,0,1,2,0,0
2861.45,93.95,32,0,0,0,1,0,2,0
19.9,19.9,1,0,1,1,2,1,1,1
19.6,19.6,1,0,1,1,2,1,1,1
233.7,81.35,3,0,0,0,1,0,2,1
1066.15,24.45,46,1,1,1,2,1,1,0
2149.05,74.95,29,0,0,0,1,0,0,0
4473.0,87.35,51,0,0,2,1,2,2,0
3545.05,70.65,48,0,0,0,1,0,0,0
1195.75,73.25,16,0,0,0,1,0,2,0
6858.9,98.7,70,2,0,2,1,2,2,0
1024.7,24.8,40,2,1,1,2,1,1,0
1845.9,83.3,22,0,0,0,1,0,2,1
75.3,75.3,1,0,0,0,1,2,0,1
132.25,24.3,5,0,1,1,2,1,1,0
515.45,69.85,7,0,0,0,1,0,0,0
2830.45,100.55,29,1,0,2,1,2,2,0
1110.5,25.7,44,1,1,1,2,1,1,0
449.3,40.7,10,0,2,0,0,2,2,0
1395.05,75.6,18,0,0,0,1,0,0,0
3975.7,58.25,68,1,2,2,0,0,0,0
1182.55,19.4,61,0,1,1,2,1,1,1
4784.45,65.2,72,2,2,2,0,2,2,0
119.5,53.45,2,0,2,0,0,2,0,0
518.9,45.4,12,0,0,0,0,0,0,1
899.45,19.75,41,2,1,1,2,1,1,0
1183.8,44.45,26,0,0,2,0,2,0,0
720.05,20.85,36,1,1,1,2,1,1,0
8468.2,114.05,72,2,2,2,1,2,2,0
3161.2,89.85,35,0,0,2,1,0,0,0
55.05,55.05,1,0,0,2,0,2,0,0
1882.55,112.95,16,0,2,2,1,2,0,0
5070.4,101.55,49,0,2,0,1,0,0,0
6049.5,114.65,54,1,2,2,1,2,2,0
1166.7,64.8,18,0,2,0,0,0,0,0
2937.65,80.4,36,0,0,0,1,0,0,0
6396.45,105.9,60,0,0,0,1,2,2,1
69.55,69.55,1,0,0,0,1,0,0,1
1270.25,25.05,52,2,1,1,2,1,1,0
759.55,94.75,8,0,0,0,1,2,0,0
7611.55,105.5,72,2,2,2,1,0,2,0
1642.75,24.7,64,1,1,1,2,1,1,0
3582.4,60.2,60,0,0,2,0,2,2,0
2227.1,81.05,28,0,0,0,1,0,0,1
1417.9,24.4,61,2,1,1,2,1,1,0
2494.65,104.15,24,0,0,0,1,2,2,0
2768.35,92.9,28,1,0,2,1,2,2,0
2369.3,80.8,30,2,0,2,0,2,2,0
38.0,20.0,2,0,1,1,2,1,1,0
75.1,75.1,1,0,0,0,1,0,0,0
100.9,19.65,6,0,1,1,2,1,1,0
1614.05,69.45,24,0,0,0,0,0,2,0
385.9,101.15,4,0,0,0,1,2,0,1
673.25,99.8,7,0,0,0,1,0,2,1
8404.9,116.05,72,2,2,2,1,2,2,0
2799.75,40.05,70,2,0,2,0,0,0,0
6538.45,102.1,64,2,0,2,1,2,0,0
6588.95,89.7,72,1,0,0,1,0,2,0
868.1,19.9,44,2,1,1,2,1,1,0
330.6,20.65,17,1,1,1,2,1,1,0
55.0,55.0,1,0,0,0,0,0,0,1
564.4,70.05,9,0,0,0,0,2,0,0
1315.35,53.6,24,0,2,2,0,0,0,0
74.7,74.7,1,0,0,0,1,0,2,1
1861.5,80.25,24,0,0,0,1,0,2,1
2747.2,76.05,35,0,0,2,0,0,2,0
554.05,75.7,7,0,2,2,0,2,2,0
453.4,96.1,5,0,0,2,1,0,0,1
994.8,69.0,15,0,0,0,1,0,0,1
225.75,19.65,11,2,1,1,2,1,1,0
2145.0,45.3,48,0,2,0,0,2,0,1
8003.8,108.5,72,1,0,2,1,2,2,0
680.05,83.55,8,0,0,0,1,0,2,1
6130.85,84.5,72,2,0,0,1,0,0,0
6201.95,88.6,72,2,0,2,0,2,2,0
74.35,74.35,1,0,0,0,1,0,0,1
6597.25,104.8,63,2,0,0,1,2,2,0
114.15,59.0,2,0,0,0,0,0,2,0
139.4,74.4,2,0,2,0,1,0,0,1
3902.6,64.05,61,1,0,0,0,0,2,0
20.4,20.4,1,0,1,1,2,1,1,0
903.6,43.75,22,1,0,0,0,2,2,1
1785.65,60.9,28,0,2,2,0,0,2,0
1397.65,19.8,70,2,1,1,2,1,1,0
131.05,28.45,5,0,0,0,0,0,2,1
1238.45,99.7,12,0,2,0,1,2,2,1
3899.05,116.25,34,1,2,2,1,2,2,0
5676.0,80.7,71,2,2,0,1,0,0,0
4543.15,65.2,70,1,2,0,0,0,0,0
4326.8,84.05,52,0,2,2,1,2,0,0
5502.55,79.45,69,2,2,2,0,2,2,0
1782.4,94.1,20,0,0,0,1,2,2,1
851.8,78.0,11,0,0,0,1,2,0,0
167.5,94.2,2,0,0,2,1,0,0,1
502.85,80.5,6,0,0,2,1,0,0,1
19.85,19.85,1,0,1,1,2,1,1,0
1818.3,94.3,20,1,2,2,1,2,0,0
6300.15,106.45,61,0,2,0,1,2,0,0
334.8,74.35,5,0,0,0,1,0,0,1
5916.95,105.45,56,0,0,2,1,0,2,0
2852.4,95.0,30,0,2,2,1,2,2,0
4131.95,104.8,40,0,0,2,1,2,0,1
302.6,70.05,5,0,0,0,1,0,0,0
1929.35,75.2,27,0,2,0,1,0,0,1
265.45,20.05,12,0,1,1,2,1,1,0
6989.45,105.4,67,1,0,0,1,2,2,0
1442.0,51.6,29,0,0,0,0,0,0,0
4713.4,85.5,55,0,0,0,1,0,0,0
1758.6,75.6,23,0,0,0,1,0,0,1
3480.0,100.05,34,0,0,0,1,2,0,1
4738.3,91.25,52,1,2,0,1,2,0,0
8399.15,115.75,72,2,2,2,1,2,2,0
5430.35,94.7,58,1,0,2,1,0,2,0
686.95,19.6,35,2,1,1,2,1,1,0
5706.3,99.9,56,2,0,2,1,2,2,0
490.65,21.1,24,2,1,1,2,1,1,0
1360.25,20.05,70,2,1,1,2,1,1,0
7379.8,107.15,68,1,0,2,1,2,0,0
85.0,85.0,1,0,0,0,1,0,0,1
1021.75,89.55,12,0,0,0,1,2,0,0
5029.05,81.55,63,0,0,0,1,0,2,0
1955.4,58.45,33,1,2,0,0,2,2,0
6744.2,95.65,69,1,0,0,1,0,2,0
4946.7,80.6,60,2,0,2,0,2,2,0
8248.5,113.1,72,2,2,2,1,2,2,0
601.6,58.95,11,0,0,0,0,0,0,0
19.55,19.55,1,0,1,1,2,1,1,0
834.1,86.05,10,0,0,0,1,0,0,1
597.0,45.55,13,0,2,2,0,0,0,1
2647.2,78.95,34,1,0,0,1,0,0,0
3266.0,86.3,39,0,0,0,1,0,2,1
5265.5,101.9,50,1,2,0,1,2,2,0
311.6,19.75,15,0,1,1,2,1,1,0
7966.9,110.3,72,2,2,0,1,2,2,0
1153.25,19.35,55,2,1,1,2,1,1,0
514.75,25.6,23,2,1,1,2,1,1,0
2596.15,80.35,32,0,0,0,1,0,2,1
3808.0,68.75,56,1,2,0,0,2,0,0
19.9,19.9,1,0,1,1,2,1,1,0
2708.2,70.6,38,1,2,2,0,0,2,0
760.05,70.2,11,0,0,0,1,0,0,0
49.3,49.3,1,0,0,2,0,0,0,0
6033.3,107.25,56,1,0,2,1,0,2,0
89.05,23.6,3,0,1,1,2,1,1,0
516.15,69.7,7,0,2,0,0,0,0,0
5861.75,99.5,59,2,0,0,1,2,0,0
445.95,64.3,7,0,0,2,0,2,0,0
4973.4,70.85,71,2,2,2,0,2,0,0
1667.25,101.9,15,1,2,2,1,0,0,0
5357.75,73.5,71,2,2,2,0,0,2,0
422.6,40.4,11,1,0,2,0,2,2,0
2754.0,59.6,47,2,0,2,0,0,2,0
5614.45,100.3,56,1,0,0,1,0,2,1
3204.4,110.85,28,0,0,2,1,2,2,0
4747.65,81.05,61,2,2,2,0,0,2,0
3082.1,98.05,31,1,2,0,1,2,0,0
597.9,70.5,9,0,0,0,1,0,0,0
3365.4,94.55,35,0,2,0,1,0,2,0
38.8,19.65,2,0,1,1,2,1,1,0
233.55,19.0,12,0,1,1,2,1,1,1
75.3,75.3,1,0,2,0,1,0,0,1
346.2,89.2,4,0,0,0,1,2,0,1
19.0,19.0,1,0,1,1,2,1,1,0
61.7,20.0,3,0,1,1,2,1,1,0
85.7,85.7,1,0,0,0,1,0,0,1
3342.45,63.25,52,2,2,0,0,0,2,0
85.1,20.1,5,1,1,1,2,1,1,0
7422.1,99.15,72,2,2,0,1,2,2,0
6668.05,90.4,71,2,2,2,0,2,2,0
8071.05,111.9,72,2,2,2,1,2,0,0
1174.8,24.9,46,1,1,1,2,1,1,0
5435.0,83.5,63,2,2,0,0,2,2,0
2438.6,84.3,30,0,2,0,1,2,2,0
45.6,45.6,1,0,0,0,0,0,0,0
713.75,61.65,12,0,2,2,0,2,0,1
916.15,54.85,16,2,2,2,0,2,2,0
237.2,65.55,4,0,0,2,0,0,0,0
4614.55,90.35,51,1,0,0,1,0,2,0
1414.45,20.4,65,2,1,1,2,1,1,0
1170.5,74.55,16,0,0,2,1,0,0,0
47.7,19.95,2,1,1,1,2,1,1,0
4859.25,74.25,66,1,0,0,1,0,0,0
4903.2,108.65,46,2,0,2,1,2,2,0
3608.0,109.55,32,1,2,2,1,2,0,0
6094.25,86.65,72,2,2,2,0,2,0,0
3084.9,81.0,38,2,2,2,0,2,0,0
2356.75,47.85,51,1,0,2,0,0,0,0
8306.05,114.55,72,2,2,2,1,2,2,0
6786.4,105.25,65,0,2,0,1,2,0,1
248.95,29.95,9,0,0,0,0,0,2,1
663.05,65.0,9,0,2,2,0,2,2,1
1357.1,20.55,66,2,1,1,2,1,1,0
4860.35,109.8,44,1,2,0,1,2,2,0
3418.2,69.5,50,2,0,2,0,2,0,0
186.3,25.25,8,0,0,0,0,0,0,0
4884.85,87.55,57,0,2,2,1,0,2,0
522.95,78.55,7,0,0,0,1,0,2,0
362.6,34.55,10,0,0,0,0,0,0,0
5755.8,92.05,62,1,2,0,1,2,2,0
406.95,19.7,20,2,1,1,2,1,1,0
2395.7,95.15,25,0,0,2,1,0,0,0
1968.1,84.25,23,0,0,0,1,2,2,0
6819.45,104.6,66,1,0,0,1,2,2,0
7943.45,111.65,72,2,0,2,1,2,2,0
4687.9,110.75,43,0,0,2,1,2,2,1
2473.95,55.0,46,0,2,0,0,0,0,0
